experiment,version,change,run_tag,wandb_run_id,state,feature_set,encoder,input_type,in_channels,epochs,learning_rate,batch_size,img_size,tta,jpeg_aug,edge_supervision,noise_features,pixel_f1,pixel_iou,pixel_auc,pixel_precision,pixel_recall,image_accuracy,image_macro_f1,image_roc_auc,best_val_f1,final_train_loss,final_val_loss,duration_min
vrp10,vR.P.10,Focal+Dice loss + CBAM attention in UNet decoder,run01,x3pklw0n,finished,rgb,resnet34,rgb,3,25,0.001,16,384,False,False,False,False,0.7238326668739319,0.567192554473877,0.9524668300698036,0.8489236831665039,0.6308720707893372,0.8880084521922874,0.8792063878099934,0.9767086709642786,0.7193779349327087,0.25759119999522306,0.34922661435078595,0.0
"vR.P.40.1 — EfficientNet-B4 baseline (ELA Q=90, 3ch)",vR.P.40.1,"EfficientNet-B4 baseline (ELA Q=90, 3ch)",,s46z7oku,crashed,ela,efficientnet-b4,ela,3,30,,8,,False,False,False,False,,,,,,,,,0.7250102758407593,0.2948880064810338,0.41027705486327704,0.0
"vR.P.40.2 — EfficientNet-B4 + Multi-Q RGB ELA (9ch, Q=75/85/95)",vR.P.40.2,"EfficientNet-B4 + Multi-Q RGB ELA (9ch, Q=75/85/95)",,77dfuxml,crashed,multi-q-rgb-ela-9ch,efficientnet-b4,multi-q-rgb-ela-9ch,9,30,,8,,False,False,False,False,,,,,,,,,0.7083166837692261,0.3666922466496744,0.4633669675842251,0.0
vrp19,vR.P.19,"Multi-Quality RGB ELA (9ch, Q=75/85/95 full-color)",colab01,wbeqiiyn,crashed,multi_quality_ela,resnet34,Multi-Q RGB ELA,9,25,0.001,16,384,False,False,False,False,,,,,,,,,,,,0.0
vrp301,vR.P.30.1,"Multi-quality ELA + CBAM attention (50ep, BCE+Dice)",run01,4y0zyvp0,crashed,multi_quality_ela,resnet34,multi_quality_ela,3,50,0.001,16,384,False,False,False,False,,,,,,,,,,,,0.0
vrp19,vR.P.19,"Multi-Quality RGB ELA (9ch, Q=75/85/95 full-color)",run01,n0m3exx5,crashed,multi_quality_ela,resnet34,Multi-Q RGB ELA,9,25,0.001,16,384,False,False,False,False,,,,,,,,,0.4746949374675751,0.7767485565693538,0.7524446092679032,0.0
vR.P.41 — Unified Inception V1+V2+V3 custom encoder + Multi-Q RGB ELA (9ch),vR.P.41,Unified Inception V1+V2+V3 custom encoder + Multi-Q RGB ELA (9ch),,s2he02vh,finished,multi-q-rgb-ela-9ch,unified-inception-v123,multi-q-rgb-ela-9ch,9,50,,16,,False,False,False,False,,,,,,,,,,,,0.0
vR.P.41 — Unified Inception V1+V2+V3 custom encoder + Multi-Q RGB ELA (9ch),vR.P.41,Unified Inception V1+V2+V3 custom encoder + Multi-Q RGB ELA (9ch),,kvo54swv,running,multi-q-rgb-ela-9ch,unified-inception-v123,multi-q-rgb-ela-9ch,9,50,,16,,False,False,False,False,,,,,,,,,0.7022385001182556,0.22657248769217456,0.4289506436350526,380.3833333333333
vR.P.40.5 — InceptionV3 custom encoder + Multi-Q RGB ELA (9ch),vR.P.40.5,InceptionV3 custom encoder + Multi-Q RGB ELA (9ch),,dktzehqc,running,multi-q-rgb-ela-9ch,inception-v3-custom,multi-q-rgb-ela-9ch,9,30,,8,,False,False,False,False,,,,,,,,,0.6111570000648499,0.4095614799606535,0.5171069965421154,371.48333333333335
"vR.P.40.2 — EfficientNet-B4 + Multi-Q RGB ELA (9ch, Q=75/85/95)",vR.P.40.2,"EfficientNet-B4 + Multi-Q RGB ELA (9ch, Q=75/85/95)",,zyvsjrhy,running,multi-q-rgb-ela-9ch,efficientnet-b4,multi-q-rgb-ela-9ch,9,30,,8,,False,False,False,False,,,,,,,,,0.7007176280021667,0.24699198482693227,0.487367672311537,382.3
